gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
AMER2,5,208,4,143,1.0,1.0,-0.0,-0.0
PROSER1,3,210,5,142,0.3696340707799328,1.0,0.43222800479566054,-0.0
ZC3H13,13,200,10,137,0.9621151740005746,0.7106718263889814,0.016772935821961883,0.14833090122611073
DNAJC3,3,210,3,144,0.9665950245003128,1.0,0.014755444700573309,-0.0
RNASE13,2,211,1,146,1.0,1.0,-0.0,-0.0
KIAA0391,3,210,3,144,0.9665950245003128,1.0,0.014755444700573309,-0.0
PAX9,1,212,2,145,0.7456564822546201,1.0,0.12746120231390273,-0.0
RPL10L,5,208,6,141,0.5298706391580572,0.13441657417036026,0.2758301446579958,0.8715471775103629
C14orf183,1,212,3,144,0.375322161805409,1.0,0.4255957908610071,-0.0
ZFYVE26,10,203,10,137,0.5325285254749113,0.36812025069351895,0.27365712380557944,0.4340102908865558
RPS6KL1,2,211,5,142,0.20236774196771418,1.0,0.693858714173823,-0.0
SEL1L,7,206,5,142,1.0,1.0,-0.0,-0.0
PTPN21,3,210,2,145,1.0,1.0,-0.0,-0.0
LGMN,4,209,3,144,1.0,1.0,-0.0,-0.0
DYNC1H1,8,205,15,132,0.02510511519269665,0.5228166539190886,1.6002377815615827,0.28165058675720694
SNORD115-16,1,212,1,146,1.0,1.0,-0.0,-0.0
TP53BP1,6,207,4,143,1.0,0.30743416592739536,-0.0,0.5122478699227725
HDC,10,203,8,139,0.9411707610382654,0.2223762475932416,0.02633157333301443,0.652911602387094
SPPL2A,2,211,6,141,0.10425096294488535,1.0,0.9819199248461122,-0.0
RHBDF1,3,210,3,144,0.9665950245003128,1.0,0.014755444700573309,-0.0
AXIN1,6,207,2,145,0.5770537361405876,1.0,0.23878374278413164,-0.0
