gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
MAP3K15,3,135,1,92,0.9096079781954267,1.0,0.04114573909532821,-0.0
POLA1,5,133,5,88,0.7546644269464793,1.0,0.12224612111627552,-0.0
DCAF8L2,2,136,7,86,0.046103369014207946,1.0,1.3362673372823939,-0.0
DCAF8L1,6,132,3,90,0.9318316511759669,1.0,0.03066254211959213,-0.0
MAGEB4,3,135,2,91,1.0,1.0,-0.0,-0.0
TAB3,2,136,3,90,0.6534376736205666,0.4142161782425252,0.18479583010872824,0.3827729426607157
FAM47B,13,125,7,86,0.7923062422522471,0.22546067461461772,0.10110692243384996,0.6469291978536298
FAM47C,11,127,9,84,0.830740876658791,0.668540041304922,0.08053441952081364,0.1748725761402189
RPGR,1,137,4,89,0.1703995221418328,1.0,0.7685316274769252,-0.0
RBM10,14,124,4,89,0.1692022725759283,0.3662730387695,0.7715938081967748,0.43619504842410584
ZNF41,3,135,2,91,1.0,1.0,-0.0,-0.0
ZNF81,3,135,1,92,0.9096079781954267,0.6170750774519738,0.04114573909532821,0.2096619936012596
TIMM17B,1,137,0,93,1.0,1.0,-0.0,-0.0
PIM2,1,137,3,90,0.36022173633157495,1.0,0.44343008473124673,-0.0
MAGIX,1,137,0,93,1.0,1.0,-0.0,-0.0
